filename,scientific_name_image,scientific_name_image_conf,SEM_number_image,SEM_number_image_conf,angle_image,angle_image_conf,scientific_name_filename,SEM_number_filename,angle_filename,scientific_name_matches,SEM_number_matches,angle_matches,all_matches
Isotomurus palustris (6fullslide) COLL-0002.jpeg,Isotomurus palustris,0.8685679129513193,SEM-UBC COLL-0002,0.6519998110595693,full slide,0.8685679129513193,Isotomurus palustris,,fullslide,True,,True,True
Periplaneta americana nymph (2ventral) .jpg,Periplaneta americana nymph,0.9027455166218452,SEM-UBC DIC-0027,0.9991494439695604,ventral,0.9027455166218452,Periplaneta americana nymph,,ventral,True,,True,True
Periplaneta australasiae nymph (2ventral) .jpg,Periplaneta australasiae nymph,0.8397191102189967,SEM-UBC DIC-0051,0.9553893321730164,ventral,0.8397191102189967,Periplaneta australasiae nymph,,ventral,True,,True,True
Necrophilus hydrophiloides form A (2ventral) .jpg,Necrophilus hydrophiloides form A,0.9994906716058355,SEM-UBC COL-28996,0.998468895625191,ventral,0.9994906716058355,Necrophilus hydrophiloides form A,,ventral,True,,True,True
Nemoria darwiniata (2ventral).jpg,Chlorosea banksaria,0.9996551898850227,SEM-UBC GEO-0260,0.9829406803407271,ventral,0.9996551898850227,Nemoria darwiniata,,ventral,False,,True,False
Sinella baca (2ventral) COLL-0011.jpeg,Sinella baca,0.7781800091627376,SEM-UBC COLL-0011,0.9810132964211605,ventral,0.7781800091627376,Sinella baca,,ventral,True,,True,True
Aderus populneus (1dorsal) .jpg,Aderus brunnipennis,0.9680650222135149,SEM-UBC COL-28948,0.7632980227578187,dorsal,0.9680650222135149,Aderus populneus,,dorsal,False,,True,False
Lepidocyrtus cyaneus (6fullslide) COLL-0006.jpeg,Lepidocyrtus cyaneus,0.9433054427882515,SEM-UBC COLL-0OO6,0.6206779018223355,full slide,0.9433054427882515,Lepidocyrtus cyaneus,,fullslide,True,,True,True
Caenurgina annexa (1dorsal).jpg,Caenurgina annexa,0.6871212011674324,SEM-UBC NOC-0945,0.9040643132126451,dorsal,0.6871212011674324,Caenurgina annexa,,dorsal,True,,True,True
Blaberus sp (2ventral) merged .jpg,Blaberus sp,0.6280564487396652,SEM-UBC DIC-0058,0.8634740722755545,ventral,0.6280564487396652,Blaberus sp,,ventral,True,,True,True
Nyctibora sp form A (2ventral) .jpg,Nyctibora sp form A,0.7858413640961632,SEM-UBC DIC-0073,0.7332888590327644,ventral,0.7858413640961632,Nyctibora sp form A,,ventral,True,,True,True
Blaberus sp (3lateral) .jpg,Blaberus sp,0.9781222454392137,SEM-UBC DIC-0058,0.9978297471048782,lateral,0.9781222454392137,Blaberus sp,,lateral,True,,True,True
Agulla bicolor female (3lateral).jpeg,Agulla bicolor female,0.8307328795319705,SEM-UBC RAP-0165,0.8638067101633728,lateral,0.8307328795319705,Agulla bicolor female,,lateral,True,,True,True
Reticulitermes hesperus (1dorsal) .jpg,Reticulitermes hesperus,0.9612349942363807,SEM-UBC ISO-0130,0.8204400785119741,dorsal,0.9612349942363807,Reticulitermes hesperus,,dorsal,True,,True,True
Tomocerus brevimucronatus (1left) COLL-0012.jpeg,Tomocerus brevimucronatus,0.8450307463145993,SEM-UBC COLL-0012,0.9883537091843501,left,0.8450307463145993,Tomocerus brevimucronatus,,left,True,,True,True
Apteroloma tenuicorne (3lateral) .jpg,Apteroloma tenuicorne,0.7421841356731713,SEM-UBC COL-28992,0.9633932865728722,lateral,0.7421841356731713,Apteroloma tenuicorne,,lateral,True,,True,True
Necrophilus hydrophiloides form A (4front).jpg,Necrophilus hydrophiloides form A,0.8514735662052336,SEM-UBC COL-28996,0.7179714983674751,front,0.8514735662052336,Necrophilus hydrophiloides form A,,front,True,,True,True
Amphizoa striata (3lateral).jpg,Amphizoa striata,0.9328883024595301,SEM-UBC COL-0090,0.886154593561398,lateral,0.9328883024595301,Amphizoa striata,,lateral,True,,True,True
Zootermopsis angusticollis form D (1dorsal) .jpg,Zootermopsis angusticollis form D,0.8726743909564619,SEM-UBC ISO-0035,0.7136841611592287,dorsal,0.8726743909564619,Zootermopsis angusticollis form D,,dorsal,True,,True,True
Periplaneta australasiae nymph (1dorsal) .jpg,Periplaneta australasiae nymph,0.9788744418672811,SEM-UBC DIC-0051,0.9993586315168935,dorsal,0.9788744418672811,Periplaneta australasiae nymph,,dorsal,True,,True,True
Amphizoa insolens (1dorsal).jpg,Amphizoa insolens,0.9880193019223898,SEM-UBC COL-0044,0.968734038004935,dorsal,0.9880193019223898,Amphizoa insolens,,dorsal,True,,True,True
Panchlora sp Form A (1dorsal) .jpg,Panchlora sp form A,0.8317324381650791,SEM-UBC DIC-0066,0.9506022734261202,dorsal,0.8317324381650791,Panchlora sp Form A,,dorsal,True,,True,True
Morulina sp. (6label) COLL-0009.jpeg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Morulina sp.,,label,False,,False,False
Mantispa interrupta (3lateral) SEM-UBC NEU-0919.jpg,Mantispa interrupta,0.5617849549564153,SEM-UBC NEU-0919,0.9736746968032118,lateral,0.5617849549564153,Mantispa interrupta,SEM-UBC NEU-0919,lateral,True,True,True,True
Morulina sp. (2ventral) COLL-0009.jpeg,Morulina sp.,0.8995029199637762,SEM-UBC COLL-0009,0.9559135476165496,dorsal,0.8995029199637762,Morulina sp.,,ventral,True,,False,False
Necrophilus hydrophiloides form A (3lateral) .jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Necrophilus hydrophiloides form A,,lateral,False,,False,False
Periplaneta americana (1dorsal) .jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Periplaneta americana,,dorsal,False,,False,False
Hemerobius discretus (3lateral) .jpeg,Hemeroblus discretus,0.7682436167093303,SEM-UBC NEU-0579,0.19029528626988673, ateral,0.7682436167093303,Hemerobius discretus,,lateral,False,,False,False
Nyctibora sp form A (3lateral) .jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Nyctibora sp form A,,lateral,False,,False,False
Zootermopsis angusticollis form C (1dorsal) .jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Zootermopsis angusticollis form C,,dorsal,False,,False,False
Lamprochernes minor (1dorsal).jpeg,Lamprochernes minor,0.9177810391474752,SEM-UBC PSEU-0002,0.9757087344265878,dorsal,0.9177810391474752,Lamprochernes minor,,dorsal,True,,True,True
